wilderness	n. 荒野, 荒地
precaution	n. 预防,留心,警戒
ire	n. 忿怒 vt. 使发怒
donate	vt. 捐赠,转移(电子) vi. 捐款
transaction	n. 交易,处理,办理
identical	adj. 相同的,同一的
station	n. 车(站),位置,姿势,地位 vt. (配)安置
instalment	n. 分期付款,（连载作品或分集戏剧等的）一部分，一集=installment(美)
pretend	vt. &vi. 假装,伪称 adj. 假装的,赝品的,模拟的
scatter	n. 散布, 零星少量 vt. 驱散, 散播 vi. 分散, 消散
primary	n. 最主要者 adj. 主要的, 初期的, 根本的
panic	n. 恐慌,惊惶 adj. 惊慌的,没有理由的,恐慌的 vt. 使...惊慌
immediately	adv. 立即,直接地 conj. 一...(就)
economic	adj. 经济学的, 经济的，有利可图的 n. [-s]经济学(状况等)
unemployment	n. 失业,失业人数
transcript	n. 成绩单 n. 抄本,誊本;副本 n.笔录
participant	adj. 参与的 n. 参加者,参与者
prior	adj. 更重要的, 较早的, 在先的 adv. 居先 n. 小修道院院长; 大修道院副院长
betray	vt. 误导,出卖,背叛,泄露 vi. 证明...错误
frank	adj. 坦白的,直率的,无误的 vt. 免费邮寄,使自由出入 n. 免费邮寄
chaos	n. 混乱
communist	adj. 共产主义的 n. 共产主义者
observe	v. 观察, 遵守, 注意到
devastate	vt. 毁坏,使震惊
competition	n. 比赛,竞争
perception	n. 感知, 认识, 观念
progressive	adj. 前进的, 渐进的 n. 进步人士
promise	n. 诺言, 约定, (有)希望，预示 v. 允诺, 约定, 预示, 有可能
compound	n. 混合物,复合词 adj. 复(混)合的,合成的 vt. 混合,调合,妥协 vi. 混合,妥协
personalise	vt. 使个人化，拟人化 =personalize（美）
ecstatic	n. 狂喜的人 adj. 狂喜的
supplier	n. 供应者, 供应厂商, 供应国
mercenary	adj. 唯利是图的，雇佣的 n. 唯利是图的人，雇佣兵
concentrate	vt.& vi.专心于； 注意； 集中； 聚集 vt.浓缩，（使）浓缩； [采矿]汰选； 选矿，精选，富集 vi.凝缩，浓缩，提纯 n.浓缩物 adj.集中起来的，经过浓缩的
contradiction	n. 反驳,矛盾,不一致,否认
select	adj. 精选的 n. 被挑选出来的人或物 v. 选择 vi. 选择,挑选,选拔 vt. 选择,挑选
carve	vt.& vi. 雕刻,切割
realisation	n. 实现，认识 =realization(美)
hinder	adj. 后面的 vt. 阻碍,打扰 vi. 阻碍
confident	adj. 确信的, 自信的
border	n. 边缘 vt. 作...之疆界,加边
destiny	n. 命运
elation	n. 得意洋洋, 兴高采烈
elective	adj. 选举的，随意选择的 n. 选修科目
valuable	adj. 贵重的, 有价值的 n. (pl.)贵重物品
suspect	vt.猜疑（是）； 怀疑，不信任； 怀疑…有罪 n.嫌疑犯 vi.怀疑
accommodation	n. 住处，膳宿；调节；和解；预订铺位
transference	n. 调任，转移，转让，移情
accomplish	vt. 完成
session	n.开会，会议；（法庭的）开庭； 会期，学期； （进行某活动连续的）一段时间
purify	v.(使）净化，（使）精炼，涤罪
wonder	n. 惊奇；奇迹；惊愕 vi. 怀疑；想知道；惊讶 vt. 怀疑；惊奇；对…感到惊讶 adj. 奇妙的；非凡的
constrict	v. 压缩, 束紧, 使收缩
prey	n. 被掠食者,牺牲者 vi. 捕食,掠夺,使...苦恼
gullible	adj. 易受骗的，轻信的
loyal	adj. 忠诚的,忠心的 adv. 忠诚地,忠实地 n. 忠贞,忠诚,忠实
discouragement	n. 挫折
exploitative	adj. 开发的，利用的，剥削的
emit	v. 发出,放射,吐露 [计算机] 发射
contract	n. 合约, 婚约; 合同书 v.签合同； 缩小； 感染
emotional	adj. 感情的, 情绪的
emphasis	n. 强调,重点
criterion	n. 标准, 准则
terminal	n. n. 终端机,终点,末端 adj. 终点的,晚期的,致死的
quality	n. 品质, 特质, 才能 adj. 高品质的
admission	n. 许可, 入会费, 承认
conducive	adj. 有助于...的
vivid	adj. 生动的,强烈的,鲜艳的,清晰的,逼真的
motorist	n. 驾车旅行的人，开汽车的人
optional	adj. 可以任选的,非强制的
voluntary	adj. 自愿的, 志愿的 n. (教堂礼拜仪式前后或进行期间的)乐器独奏
engineer	n. 工程师 v. 设计,制造 vt. 操纵,设计,建造
depict	vt. 描述,描绘
corresponding	adj. 符合的, 一致的, 相同的, 相应的, 相当的
agriculture	n. 农业
order	n.命令； 秩序； 规则，制度； 次序 vt.命令； 订购； 整理 vi.下订单
luxurious	adj. 奢侈的, 豪华的
rapport	n. 关系, 同意, 一致
pharmaceutical	adj. 药物的(医药的) n. 药品(成药)
envy	vt. &vi. 嫉妒,羡慕 n. 妒忌,羡慕
rate	n. 比率, 等级, 价格 vt. 估价, 认为, 定等级; 责骂 vi. 受欢迎, 受推崇; 责骂
complexity	n. 复杂，复杂性, 复杂的事物
altitude	n. 高度,海拔,高地
irate	adj. 发怒的, 生气的
reduction	n. 减少,缩小, (化学)还原反应, (数学)约分
situation	n. 位置, 形势, 局面, 处境, 状况, 职位
equity	n. 权益，产权，(无固定利息的)股票 n. 公平, 公正
similar	adj. 相似的,类似的,相同,一样
context	n. 上下文, 环境,背景
photography	n. 摄影术
contradict	vt. 反驳,与...矛盾
evident	adj. 明显的, 明白的
induce	vt. 引诱,导致,催生
cubic	adj. 立方体的
characterise	vt. 表示 ... 的特征，描述 ... 的特征 =characterize（美）
thread	n. 线,纤维,思路,线索, 螺纹 vt. 穿线于,穿过,成线, 遍布 vi. 小心地通过, 蜿蜒前进, 滴下成丝状
completely	adv. 完全地, 十分地, 全然
predatory	adj. 掠夺的, 掠夺成性的, 捕食生物的
intellectual	n. 有知识者,知识份子,凭理智做事者 adj. 智力的,知性的,聪明的
wheel	n. 轮子,周期,旋转运动 vi. 旋转,转动 vt. 推或拉车,传送,打圈,装以车轮
courteous	adj. 有礼貌的，殷勤的
excess	adj. 过量的,附加的 n. 超过,超越,过度,过量
application	n.适用，应用，运用； 申请，请求，申请表格； 勤勉，用功； 敷用，敷用药
replication	n. 复制
innovation	n. 创新, 革新
judicial	adj. 法庭的, 公正的, 审判上的
inspiration	n. 灵感,吸入,鼓舞人心(的东西)
engineering	n. 工程(学),工程技术
arbitrary	adj. 任意的, 专制的, 武断的, 霸道的
region	n. 地区,地域,地带,行政区
slavery	n. 奴役，奴隶制，奴隶身份
regulation	n. 规则, 规章, 管理 adj. 规定的, 官方的
temperate	adj. 温和的, 适度的, 有节制的
generalise	v. 使一般化，概括 =generalize（美）
sensitivity	n. 敏感, 多愁善感, 感受性
deficient	adj. 不足的, 不充分的, 有缺陷的
pollutant	n. 污染物质
intercede	v. 仲裁, 说项
isolate	adj. 孤立的 v. 隔离,孤立 vt. 使隔离,使孤立
natural	adj.自然的； 物质的； 天生的； 不做作的 n.自然的事情； （生来的）白痴； [乐]（风琴等的）白键
contribution	n. 贡献,捐款(赠)
denounce	v. 告发, 公然抨击
metal	n. 金属,质料 adj. 金属制的 v. 以金属覆盖
definitive	adj. 决定性的，权威性的，确定的，限定的 n. 限定词
saturate	v. 使渗透, 浸, 使饱和 adj. 浸透的, 饱度高的, 深颜色的
symbolic	n. 代号 adj. 象征的, 符号的
remote	adj. 偏僻的,遥远的,远程的，(感情等)距离很大 n. 远程操作
captive	n. 俘虏, 迷恋者 adj. 被俘的, 被迷住的
capture	n. 抓取,战利品,捕获之物 vt. 抓取,获得,迷住
confidence	n.信心； 信任； 秘密
renew	vt. 使更新,复始,使恢复,补充 vi. 更新,重新开始
assess	v. 估定, 评定
predation	掠夺行为
residential	adj. 住宅的,与居住有关的
mineral	adj. 矿物的 n. 矿物, 矿石
jeopardize	vt. 危害,使受危困,使陷危地
reproduce	v. 再生, 复制, 生殖
require	v. 需要, 要求
infuriate	adj. 狂怒的 v. 激怒
affluent	adj. 富裕的 n. 支流；富人
urbanisation	n. 都市化，城市化 =urbanization(美)
solution	n. 解答, 解决办法, 溶解, 溶液
scout	n. 童子军,侦察员, 守卫 vt. 侦察, 物色人才 vi. 寻找, 物色
elasticity	n. 弹力, 弹性
dependent	adj. 附属的,依赖的,悬垂的 n. 受经济援助者
linear	adj. 直线的，线性的，长度的
derive	v. 得自, 起源, 引申于
distortion	n. 扭曲, 变形, 曲解
animosity	n. 憎恶, 仇恨
lenient	adj. 宽大的, 仁慈的
dismiss	vt.解雇，把…免职； 遣散，解散（队伍等）； 驳回，拒绝受理； 搁置 vi.解散
undermine	vt. 暗中损害, 逐渐削弱, 在(某物)下挖洞或挖通道, 从根基处损害
address	n. n.地址； 通信处； 演说； 称呼
irony	n. 反讽, 讽剌, 讽剌之事
charisma	n. 非凡的领导力,教祖般的指导力,神授的能力
athlete	n. 运动员
hazard	n. 冒险,危险,危害 v. 冒...的危险,赌运气
smug	adj. 自以为是的,满漂亮的,俏皮的 n. 书呆子,难以交往的家伙
alleviate	vt. 减轻,使...缓和
furniture	n. 家具
tongue	n. 舌头,语言,口条,语言,说话方式 vt. 舔,闲谈,斥责 vi. 吹乐器
sophistication	n. 老练，精明，复杂，精密，有教养，诡辩, 强词夺理
drama	n. 剧本,戏剧,戏剧性情节,刺激
linguistics	n. 语言学
multiply	vt. 乘,增加 vi. 扩大,繁衍,做乘法 adv. 多样地,多重地
automatic	n. 自动装置, 半自动武器 adj. 自动的,机械的,半自动化的
implicit	adj. 暗示的,盲从的 [计算机] 隐式
reject	n. 被拒之人,不合格品,不及格者 v. 拒绝,驳回,丢弃
adoption	n. 采用, 采纳, 收养
endow	vt. 捐助,赋予,使具有某种品质
enterprise	n. 企业,企划,进取心
invest	vt.& vi.投资； 花费 vt.授予，使就职； 给…穿衣，装饰； 使充满； 覆盖
pleasant	adj. 令人愉快的,舒适的
voter	n. 投票人, 选举人
audible	adj. 听得见的
immunity	n. 免疫, 免疫性, 免除
inevitable	adj. 不可避免的, 必然(发生)的
innovate	v. 改革, 创新
symptom	n. 症状, 征兆
sanctuary	n. 圣所, 耶路撒冷的神殿, 至圣所
sol	n. C大调音阶中的第五音 n. 索尔（秘鲁的货币) n. 溶胶
strong	adj. 强壮的, 牢固的, 坚定的, 坚强的, 强烈的, 浓的
evoke	vt. 唤起,引起
scholarship	n. 奖学金, 学问, 学识
clerk	n. 职员,办事员
negotiate	vt. 转让,越过,处理,协商 vi. 协商
terminology	n. 术语,术语学
assessment	n. 估价, 评估
expansive	adj. 易膨胀的, 易扩张的
attachment	n. 附件, 附著, 附属物, 依恋, 忠诚，依赖 [法律]扣押令
insistence	n. 坚持(强调,坚决主张)
horizontal	adj. 水平的,横的 n. 水平线,水平面
cognitive	adj. 认知的,认识的,有认识力的
surveyor	n. 测量员(检查员)
acid	adj. 酸的 n. 酸, 酸味物质
obstinate	adj. 固执的, 倔强的，不易屈服的，（病）难治的
lament	n. 悲叹, 悔恨, 恸哭 v. 哀悼, 悔恨, 悲叹
innovative	adj. 革新的, 创新的
admit	vt.& vi.许可进入； 承认，供认 vt.允许； 确认 vi.承认； 允许
tropical	adj. 热带的, 炎热的, 热带植物的
humble	adj. 卑下的, 谦逊的, 粗陋的 vt. 使...卑下, 贬低
precious	adj. 宝贵的,珍贵的,矫揉造作的 adv. 极其地
athletics	n. 体育运动，田径
coronary	adj. 冠状的, 冠状动脉或静脉的，心脏的 n.冠状动脉或静脉，冠状动脉血栓形成，心脏病发作
originate	vt. 发起 vi. 开始 [计算机] 起始
manufacture	n. 产品,制造,制造业 vt. 制造,加工 vi. 参与制造
idle	adj. 无目的的, 无聊的; 懒惰的, 闲散的; 无根据的 vt.虚度; 使空闲 vi. 不作事, 闲逛; (机器)空转
fiscal	adj. 财政的,国库的
competence	n. 能力,管辖权,技能
auditory	adj. 听觉的 n. 观众，观众席
scarce	adj. 缺乏的,不足的,稀少的,罕见的 adv. 勉强
image	n. 图像,影像,肖像,想像,形象 vt. 想像,描绘,反映
fruition	n. 结果, 成就, 实现
puncture	n.刺伤；小洞；（尤指皮肤上被刺破的）扎孔 v.在…上扎孔（或穿孔）；（被）刺破；使突然泄气；挫伤（锐气等）
primitive	adj. 原始的 n. 原始人,文艺复兴前的艺术家
opportunist	n. 机会主义者, 投机者 adj. 机会主义者的
evaluation	n. 估价,评价
unique	adj. 独一无二的, 独特的, 稀罕的
commerce	n. 商业, 贸易
commercial	adj. 商业的 n. 商业广告
transcribe	vt.（用不同的录音手段）转录； 抄写，誊写； 改编（乐曲）（以适应他种乐器或声部）
procedure	n. 程序, 手续, 步骤; 常规的做法
community	n. 社区, 团体
unite	v. 联合, 合并, 混合
reasoning	n. 推论, 推理, 论证
transit	n. 经过,运输 vt. 穿越,旋转 vi. 越过
frequent	adj. 经常的,频繁的 vt. 常到,常去
production	n. 生产,产品,产量,作品,成果
apparatus	n. 装置, 器具, 机构, 组织
format	n. 设计,版式 n.[计算机]格式,DOS命令 : 格式化(磁盘),用于空盘或使用过的磁盘建立新空盘来存储数据 v. vt.使格式化,设计,安排
frequency	n.&amp;adj. 频繁,频率
secret	adj. 秘密的,机密的 adv. 秘密地 n. 秘密
progress	n. 进步, 发展, 前进 vi. 促进，进步, 进行
turmoil	n. 骚动, 混乱
component	n. 元件, 组件, 成份 adj. 组成的, 构成的
sibling	n. 兄弟姐妹
dynamic	adj. 动态的, (有)动力的, (有)力的; 有活力的 n. 动力; 力学
persistence	n. 坚持(余辉,时间常数)
personality	n. 个性, 名人, 特色
vocation	n. 职业,行业,职务
suitable	adj. 合适的, 适宜的
arose	arise的过去式
furious	adj. 狂怒的, 猛烈的
logical	adj. 符合逻辑的,逻辑上的,有推理能力的
hesitation	n. 犹豫
protest	n. 抗议, 反对, 抗议书 vi. 反对,抗议,断言 vt. 坚持地表示, 对...提出异议
semester	n. 学期
shrewd	adj. 精明的
utilize	vt. 利用
complain	vi. 抱怨,悲叹,控诉
sense	n. 侦测, 感官, 感觉; 理智; 意义 vt. 感觉, 了解; 检测
bacteria	n. (复数)细菌
general	n. 一般,将军,大体 adj. 一般的,普遍的 v. 指挥,作...将军
purpose	n. 目的, 意图; 意志, 决心; 议题 vt. 打算, 决意
pursuit	n. 追求, 追赶, 工作
consult	v. 商讨,向...请教,查阅
swell	n. 增大,隆起的部分, 波浪 adj. 优秀的, 时髦的 vi. 渐增, 膨胀, 积聚, 情感迸发 vt. 使情感迸发, 扩大, 使膨胀
pseudo	adj. 假的, 冒充的
gruesome	adj. 可怕的, 令人毛骨悚然的, 阴森的
weight	n. 重量,体重,重担 vt. 使...负重, 使倾斜
numeracy	n. 识数，计算能力
waive	vt. 丢弃,免除,推迟,搁置
profitable	adj. 有益的, 有用的
expulsion	n. 驱逐, 开除,排气
breed	n. 品种,族类 vt. 养育,繁殖,引起 vi. 繁殖
promotion	n. 促进,提升,推广
perpetuate	vt. 使永存,使不朽
condescend	vi. 屈尊，俯就，怀着优越感对待
emission	n. 发射, 射出, 发行
operational	adj. 操作的, 运作的
persistent	adj. 固执的,坚持的,连续的
coal	n. 煤, 木炭, 运煤工 vt. 烧成炭,供应煤 vi. 装煤, 加煤
sharp	adj. 刺耳的,锋利的,急剧的 adv. [时刻]正,准 夏普(财富500强公司之一，总部所在地日本,主要经营电子电气)
option	n.选择（的自由）； 选项； 选择权； 选择能力 vt.得到或获准进行选择； 调动球员
nutritional	adj. 营养的,滋养的
accountancy	n. 会计工作，会计学
united	adj. 联合的 v. 联合, 统一 vbl. 统一
questionnaire	n. 调查表
irrigate	vi. 进行灌溉 vt. 灌溉
entire	adj. 全部的,完整的，同性质的，纯正的，全面的
indispensable	adj. 不可缺少的
entrant	n. (参加比赛的)竞赛者, 新就业者, 新成员
herbivore	n. 草食动物
substitution	n. 代理,替换,交换
inspect	vt. 调查, 检阅 vi. 调查
prudent	adj. 谨慎的, 有远见的, 精打细算的
accomplishment	n. 成就,完成
creature	n. 生物, 动物, 人
publicity	n. 公众的注意,宣传,宣扬,宣传品,广告
crime	n. 犯罪, 羞耻, 罪行
pure	adj. 纯的, 纯洁的, 纯理论的, 抽象的, 完全的
silence	n. 沉默,寂静 v. 使沉默,使安静 vt. 使安静,使沉默
insist	vt. 坚持,强调 vi. 坚决主张
simulate	v. 假装,冒充,模仿,模拟
technique	n. 技术
controversy	n. (公开的)争论,争议
anticipate	vt. 预期，期望；占先，抢先；提前使用
crystal	adj. 清澈透明的, 晶体的 n. 水晶, 结晶
induction	n. 就职,感应,归纳法,序言
evolve	vt. &vi. 进展,进化,展开
replicate	vt. &vi. 折叠,复制,模写 n. 同样的样品 adj. 转折的
revolve	vt. &vi. 旋转,考虑,循环
converter	n. 转换器 =convertor
insure	vt. 保险,确保 vi. 买保险
site	n. 位置,场所 v. 使...位于,使...放置
tempt	vt. 诱惑；引起；冒…的风险；使感兴趣
refer	vt. 把…提交; 把...归因, 归类为 vi. 谈及, 咨询, 参考
deceptive	adj. 迷惑的, 虚伪的, 诈欺的
indulgent	adj. 纵容的, 任性的, 宽纵的
ruthless	adj. 残忍的, 无情的
appreciate	vt. 欣赏,感激,赏识 vt. 领会，充分意识 vi. 增值
retrieve	vt. 挽回,恢复,回忆,补偿 vi. 找回猎物 n. 取回,恢复
grant	vt.承认； 同意； 准许； 授予 n.拨款； 补助金； 授给物（如财产、授地、专有权、补助、拨款等） vi.同意
universal	adj. 普遍的,通用的,宇宙的 n. 通用
attendance	n. 出席,出席人数,出席率
intimate	adj. 亲密的,私人的,秘密的 n.  密友 vt. 透露,暗示
expect	vt.期望； 预料； 要求； 认为（某事）会发生 vi.预期； 期待； 怀胎； 怀孕
widespread	adj. 分布(或散布)广的,普遍的
experience	n. 经历, 经验 vt. 经历, 体验
greet	vt. 问候,致敬,欢迎,映入眼帘
partial	adj. 部分的,偏袒的,偏爱的 n. 泛音
investigate	vt. &vi. 调查,研究 [计算机] 研究
blowhole	n. 喷水孔, 通风孔, 通气孔
explosion	n. 爆炸,爆发,激增
defy	vt. 反抗,藐视,挑衅
interim	adj. 中间的,暂时的,临时的 n. 中间时期,过渡时期,暂定
extreme	adj. 极度的,极端的,尽头的,严重的,末端的 n. 极端,极限
sneeze	n. 喷嚏 vi. 打喷嚏
serial	n. 序列，串列 adj. 连续的，一连串的
wary	adj. 小心的,机警的,周到的
revival	n. 复兴, 复活, 恢复精神
assimilation	n. 同化, 同化作用, 消化
assist	n. 帮助,协助,协助的器械 vt. 帮助,协助 vi. 帮助,协助,出席
detective	adj. 侦探的 n. 侦探
certification	n. 证明, 保证, 鉴定
assistant	adj. 助理的；辅助的。 n. 助手助理；助教，店员
mine	pron.(I的所有格)我的（东西） n.矿； 矿井； 地雷； 水雷 vt.& vi.在…中开采，开采 vt.在…中[下]布雷； 以地雷[水雷]炸毁
extinction	n.熄灭； 消灭，灭绝； 废除； [物]消光，自屏，衰减
landscape	n. 风景,山水,风景画 v. 美化…的景观,进行造园工程
delay	n. 耽搁,迟滞 vt. 耽搁,延迟 vi. 耽搁
requirement	n. 要求,必要条件
delivery	n. 递送, 交付, 分娩
soluble	adj. 可溶解的，可解决的
resistant	adj. 抵抗的,反抗的 n. 抵抗者
mobile	adj. 可移动的,易变的,迁徙的, 流动的 n. (可随风飘动的)悬挂装置, 可动雕塑
respect	n. 尊敬, 敬重; 关系, 方面 vt. 尊敬, 尊重; 关于, 涉及
pressure	n. 压力, 压强, 压迫
permit	n. 许可证,执照 vt. &vi. 允许,许可
imaginative	adj. 富于想象力的
Mediterranean	adj. 地中海(的) n. 地中海
sensory	adj. 知觉的, 感觉的, 知觉器官的
bottom	n. 底部;臀部;船身;水底;服装下面的部分;低洼地;底色;尽头 adj. 底部的 vt. 给...装底,建立基础,到达底部 vi. 到达底部,垫底，降到最低点
restriction	n. 限制,约束 vi. 结果,(作为结果)发生
muted	adj. 1.（声音）静静的；减轻的；2.（意见）含糊不清的；表达不明确的
detract	vi. 减损  vt. 转移
irrelevant	adj. 不恰当的,无关系的,不相干的
consistent	adj. 始终如一的, 一致的, 坚持的
agenda	n. 议事日程
version	n. 版本, 说法，翻译
dialog	n. 对话, 对白 （美）=dialogue
eliminate	v. 除去,排除,剔除 [计算机] 消除
rewarding	adj. 有报酬的, 有益的
analytical	adj. 分析的,解析的,善于解析的
anonymous	adj. 匿名的,无名的,没特色的
calamity	n. 灾难, 不幸事件
prevalence	n. 传播, 流行, 普及
emphasize	v. 强调,着重 vt. 强调
finite	adj. 有限的
automatically	adj. 不经思索的 adv. 自动地
virtue	n. 美德,优点;贞操
visible	adj. 可见的, 看得见的
flexibility	n. 灵活性, 柔韧性，适应性
coordinate	n. 同等的人物; (色调, 图案, 样式等)配套服装 adj. 同等的, 等位的; (大学)男女分院制的 v. 协调, 整合; 使一致 [计算机] 坐标
labour	n. 劳动, 劳工 Labour (英国)工党
exploratory	adj. 勘探的，探索的
approximately	adv.近似地,大约
mediocre	adj. 平庸的, 平凡的
advisable	adj. 明智的,可取的
enforce	vt. 加强, 强迫, 执行
platform	n. 平台,月台,讲台,坛,计划
doctrine	n. 教义,主义,学说;[古]教学,指导,指令指示;军事战略
collaborate	vi. 合作,通敌
distant	adj. 遥远的,疏远的，远房的，陌生的，远行的
orbit	n.势力范围, 眼眶, 轨迹 vt. 绕轨道而行, 进入轨道 vi. 盘旋
enormous	adj. 巨大的, 庞大的
stability	n. 稳定性,居于修道院
stable	adj. 稳定的；牢固的；坚定的 n. 马厩；牛棚 vi. 被关在马厩 vt. 赶入马房
circumstance	n. 环境,(复数)境况,事件,详情
count	v. 计算, 视为, 依赖 n. 计数
documentation	n. 文件
paradox	n.反论，悖论； 似非而是的论点； 自相矛盾的人或事； [物]佯谬
indifferent	adj. 漠不关心的, 无重要性的, 中立的
differentiate	vt. 识别, 使差异, 求导数, 区分, 区别对待 vi. 区别,变异
provoke	vt. 激怒, 惹起, 驱使
transcription	n. 抄写，誊写，录音，编曲 [生]转移
exempt	n. 免税者,被免除义务者 adj. 免除的 v. 使免除
infect	vt. 传染,感染
equip	v. 装备, 设, 穿～
tremendous	adj. 巨大的, 惊人的
bias	n. 偏见，斜纹 vt. 使偏心
politician	n. 政治家, 政客
politics	n. 政治,政策,政治活动,政见
infinite	adj. 无限的,无穷的 n. 无限
pollution	n. 污染, 污染物
extravagant	adj. 奢侈的,浪费的,过度的,大量的
luxury	n. 奢侈, 豪华, 奢侈品
persist	vi. 坚持,固执,持续
hollow	n. 洞, 窟窿, 山谷 adj. 空的, 虚伪的, 空腹的 vt. 形成空洞, 挖空 vi. 形成空洞 adv. 有闷哑声, 完全地
static	n. 静电, 静电干扰, 噪声, 阻碍, 抨击 adj. 静态的,静电的,固态的
evaluate	vt. 评估,评价
confirmation	n. 确认, 证实, 基督教的坚信礼
vindicative	adj. 辩护的, 辩明的
weary	adj. 疲倦的,厌烦的 vt.& vi. 疲倦,厌烦,生厌
inquire	vt. 询问,查究 vi. 询问,查究
notion	n. 观念,想法,主张
emergent	adj. 出现的,紧急的，新兴的
reason	n. 理由,原因,理智,理性 vt. 说服,总结 vi. 规劝,下判断
post	n. 邮件, 标竿, 职位 vt. 邮递, 发布, 布置
distinctive	adj. 有特色的,出众的
conviction	n. 定罪, 信服, 坚信
cooperative	adj. 合作的,共同的 n. 合作社
spectacular	adj. 壮观的, 令人惊叹的 n. 惊人之举, 壮观的表演或影视作品
descendent	adj. 下降的, 降落的, 世袭的 n. 后代，子孙 =descendant
ridicule	n. 嘲笑, 愚弄, 笑柄 v. 嘲笑, 嘲弄, 愚弄
falter	v. 支吾地说,迟疑,蹒跚地走
bizarre	adj. 奇异的,怪诞的 n. 奇异花
mathematical	adj. 数学的，精确的，可能性极小的
defective	adj. 有缺陷的,欠缺,不完全变化动词 n. 有缺陷的人,不完全变化动词
divisible	adj. 可分的, 可割的,【数】可以除的
advantage	n. 优势,有利条件 vt. 有利于
morale	n. 道德准则,士气,斗志
demonstrate	vt. 示范, 演示, 证明 vi. 示威
curve	n. 曲线,弯曲,曲球 vt. 使...弯曲 vi.弯曲
excessive	adj. 过多的,过分的
reflect	v. 反映, 反射, 归咎
reflection	n. 反映,映像,折射,沉思,影响
sample	n. 样品,标本 vt. 采样,品尝 adj. 样例的
storage	n. 储存体, 储藏, 仓库, 保管费
drain	n. 下水道,排水沟,消耗 vt. 耗尽,排出,排干,喝光 vi. 变干,排出,排水
sequent	adj. 继续的, 相随的 n. 结果，随之而来的事
redundant	adj. 多余的,失业的
fluctuate	vi. 变动, 上下, 动摇 vt. 使动摇
regarding	prep. 关于, 至于
exhaust	n. 排气,排气装置 v. 用尽,耗尽,使...精疲力尽 [计算机] 排除
marked	adj. 有记号的,显著的,醒目的 v. 作记号,打分数,表示 vbl. 作记号,打分数,表示
integrity	n. 诚实, 正直, 完整, 完善
tolerate	v. 忍受,容忍,容许,宽恕 vt. 容忍,忍受,容许
vegetarian	n. 素食者 adj. 素食的
deplete	vt. 耗尽,使...空竭
experimental	adj. 实验(性)的, 试验(性)的
scene	n. 场,景,情景
species	n. [生物] 物种；种类 adj. 物种上的
erupt	v. 爆发
prove	v. 证明, 查验, 显示
relevant	adj. 相关的, 切题的, 中肯的
nevertheless	adv. 仍然, 不过 conj. 然而, 不过
justice	n.正义； 公正； 法律制裁； 审判员，法官
framework	n. 结构, 框架, 参照标准, 体系
pessimist	n. 悲观主义者
neural	adj. 神经的
patent	n. 专利权,执照,专利品 adj. 专利的,显著的,新奇的 v. 取得...的专利权,请准专利
objective	adj. 客观的, 目标的 n. 目标, 目的; 物镜 n. =objective case 宾语
dismay	n. 沮丧, 绝望 vt. 使...灰心,使...惊愕
liquid	adj. 液体的, 液态的 n. 液体
relieved	adj. 感到宽慰的；放心的；显得开心的
essence	n. 本质,精髓,要素,香精
substitute	n. 代替者,代用品 v. 代替 vi. (for)代替 vt. 用...代替,代以
compete	v. 竞争, 对抗
credible	adj. 可信的, 可靠的
successful	adj. 成功的,达到目的的
detain	vt. 扣留,拘押,耽搁
vicinity	n. 邻近,周边地区
diffuse	vt. 散播,使(气体或液体)慢慢混合 vi. 弥漫,扩散 adj. 冗长的,四散的,散漫的
similarity	n. 相似, 类似
composition	n. 作文,著作,组织,合成物，成份
presumption	n. 推测, 可能性，冒昧，放肆，[法律]推定
comparative	adj. 比较的,相当的 n. 对手
astronaut	n. 宇航员
unbiased	adj. 公正的
ample	adj. 充足的,丰富的,宽敞的
budget	n. 预算 vt. 编预算,为…做预算 vi. 节省开支 adj. 不贵的，廉价的
blow	n. 吹；打击；殴打 vi. 风吹；喘气 vt. 风吹
declare	vt. &vi. 宣布,声明,申报
junior	adj.较年幼的，较年小的； 三年级的，低年级的； 资历较浅的； 后进的 n.年少者，青少年； 晚辈； 三年级生； 职位较低者
condemn	vt. 判刑, 谴责, 官方宣称（某事物）有缺陷或不宜使用
resident	adj. 居住的 n. 居民,旅客
furthermore	adv. 而且, 此外
athletic	adj. 运动的,活跃的,健壮的
performance	n.表演； 演技； 表现； 执行
confuse	vt. 混乱,狼狈,困惑
editor	n. 编辑, 编者
immature	adj. 不成熟的
vacant	adj. 空的,空虚的,木然的
